,full_aspect,aspect,opinion,opinion_tags,aspect_tags,valence1,valence2,valence3,valence4,arousal1,arousal2,arousal3,arousal4,dominance1,dominance2,dominance3,dominance4
43,other attribute,attribute,other,"[('other', 'JJ')]","[('attribute', 'NN')]",5.556,5.538,5.902,6.022,4.214,4.216,3.63,3.386,5.7,5.648,5.902,5.854
44,native authentication,authentication,native,"[('native', 'JJ')]","[('authentication', 'NN')]",5.827,5.943,5.912,6.36,3.902,3.742,3.81,3.212,5.738,5.847,5.973,6.462
45,secure authentication,authentication,secure,"[('secure', 'JJ')]","[('authentication', 'NN')]",5.715,5.985,6.016,6.588,4.183,3.924,4.156,3.69,5.71,5.969,6.119,6.74
46,original author,author,original,"[('original', 'JJ')]","[('author', 'NN')]",5.88,5.812,6.582,6.71,4.068,4.312,3.57,3.99,5.777,5.683,6.288,6.245
47,white background,background,white,"[('white', 'JJ')]","[('background', 'NN')]",5.514,5.57,5.594,5.864,4.182,4.238,3.424,3.302,5.504,5.498,5.932,6.114
48,transparent background,background,transparent,"[('transparent', 'JJ')]","[('background', 'NN')]",5.574,5.642,5.502,5.73,3.818,3.846,3.376,3.23,5.646,5.646,5.56,5.556
49,awesome bar,bar,awesome,"[('awesome', 'JJ')]","[('bar', 'NN')]",5.813,5.953,6.456,7.182,4.479,4.482,4.569,4.588,5.75,5.805,6.373,6.818
50,actual behavior,behavior,actual,"[('actual', 'JJ')]","[('behavior', 'NN')]",5.502,5.562,5.677,5.872,4.001,3.863,3.481,3.087,5.657,5.621,5.916,5.931
51,correct behavior,behavior,correct,"[('correct', 'JJ')]","[('behavior', 'NN')]",5.87,6.058,6.192,6.652,3.979,3.881,3.716,3.444,5.901,5.921,6.286,6.488
52,current behavior,behavior,current,"[('current', 'JJ')]","[('behavior', 'NN')]",5.59,5.627,5.82,6.093,4.258,4.255,3.808,3.577,5.653,5.605,6.044,6.127
53,desirable behavior,behavior,desirable,"[('desirable', 'JJ')]","[('behavior', 'NN')]",5.447,5.538,5.577,5.726,4.974,5.196,4.902,5.216,5.607,5.552,5.784,5.739
54,different behavior,behavior,different,"[('different', 'JJ')]","[('behavior', 'NN')]",5.702,5.774,6.068,6.464,4.226,4.21,4.12,4.044,5.852,5.844,6.242,6.422
55,expected behavior,behavior,expected,"[('expected', 'JJ')]","[('behavior', 'NN')]",5.521,5.587,5.652,5.836,4.385,4.424,4.42,4.494,5.624,5.571,5.825,5.797
56,good behavior,behavior,good,"[('good', 'JJ')]","[('behavior', 'NN')]",5.864,6.03,6.09,6.49,4.172,4.142,3.774,3.526,5.606,5.534,5.636,5.522
57,like behavior,behavior,like,"[('like', 'JJ')]","[('behavior', 'NN')]",5.818,5.92,6.252,6.738,4.21,4.2,3.948,3.79,5.73,5.708,6.048,6.13
58,new behavior,behavior,new,"[('new', 'JJ')]","[('behavior', 'NN')]",5.941,6.107,6.245,6.726,4.533,4.61,4.628,4.805,5.548,5.467,5.705,5.617
59,right behavior,behavior,right,"[('right', 'JJ')]","[('behavior', 'NN')]",5.784,5.919,6.146,6.58,4.525,4.572,4.541,4.68,5.876,5.907,6.464,6.756
60,same behavior,behavior,same,"[('same', 'JJ')]","[('behavior', 'NN')]",5.525,5.594,5.539,5.67,4.392,4.432,4.255,4.247,5.637,5.586,5.754,5.692
61,correct behaviour,behaviour,correct,"[('correct', 'JJ')]","[('behaviour', 'NN')]",5.527,5.693,5.654,5.983,4.193,3.956,4.081,3.617,5.607,5.756,5.76,6.136
62,current behaviour,behaviour,current,"[('current', 'JJ')]","[('behaviour', 'NN')]",5.606,5.714,5.849,6.273,4.184,4.042,3.864,3.296,5.677,5.79,5.838,6.257
63,different behaviour,behaviour,different,"[('different', 'JJ')]","[('behaviour', 'NN')]",5.724,5.854,6.179,6.76,4.45,4.364,4.309,3.962,5.662,5.79,6,6.496
64,expected behaviour,behaviour,expected,"[('expected', 'JJ')]","[('behaviour', 'NN')]",5.558,5.666,5.65,5.974,4.596,4.504,4.694,4.538,5.348,5.424,5.322,5.482
65,new behaviour,behaviour,new,"[('new', 'JJ')]","[('behaviour', 'NN')]",5.734,5.928,6.298,6.946,4.666,4.576,4.586,4.378,5.212,5.258,5.35,5.526
66,same behaviour,behaviour,same,"[('same', 'JJ')]","[('behaviour', 'NN')]",5.489,5.593,5.543,5.815,4.45,4.336,4.38,4.069,5.393,5.476,5.464,5.697
67,late beta,beta,late,"[('late', 'JJ')]","[('beta', 'NN')]",4.999,4.761,4.917,4.601,4.435,4.752,4.379,4.769,5.059,5.287,4.954,5.223
68,fair bit,bit,fair,"[('fair', 'JJ')]","[('bit', 'NN')]",5.813,6.01,6.177,6.74,4.005,4.02,3.574,3.431,5.657,5.69,5.948,6.156
69,good bit,bit,good,"[('good', 'JJ')]","[('bit', 'NN')]",5.879,6.265,6.29,7.021,4.027,4.038,3.76,3.702,5.705,5.809,5.952,6.197
70,high bit,bit,high,"[('high', 'JJ')]","[('bit', 'NN')]",5.328,5.414,5.414,5.59,3.704,3.638,3.68,3.592,5.588,5.614,5.72,5.82
71,little bit,bit,little,"[('little', 'JJ')]","[('bit', 'NN')]",5.57,5.675,5.783,6.154,4.168,4.235,3.888,3.905,5.481,5.465,5.636,5.687
72,tiny bit,bit,tiny,"[('tiny', 'JJ')]","[('bit', 'NN')]",5.746,5.892,5.622,5.908,3.888,3.908,3.888,3.898,5.916,5.99,6.056,6.322
73,soft blocker,blocker,soft,"[('soft', 'JJ')]","[('blocker', 'NN')]",5.763,6.28,5.887,6.483,4.241,3.741,4.127,3.55,5.41,5.681,5.34,5.586
74,live bookmark,bookmark,live,"[('live', 'JJ')]","[('bookmark', 'NN')]",6.189,6.195,7.019,7.395,4.112,4.318,3.951,4.423,5.969,5.893,6.445,6.436
75,new bookmark,bookmark,new,"[('new', 'JJ')]","[('bookmark', 'NN')]",6.082,6.082,7.166,7.618,4.414,4.61,3.932,4.396,5.752,5.67,6.182,6.036
76,select box,box,select,"[('select', 'JJ')]","[('box', 'NN')]",5.692,5.755,5.929,6.228,4.065,4.256,3.419,3.796,5.424,5.541,5.341,5.678
77,alert box,box,alert,"[('alert', 'JJ')]","[('box', 'NN')]",5.224,5.236,4.626,4.274,4.192,4.39,3.604,4.068,5.346,5.444,5.726,6.256
78,sure checklist box,box,sure checklist,"[('sure', 'JJ'), ('checklist', 'JJ')]","[('box', 'NN')]",5.914,6.005,6.333,6.835,3.602,3.746,3.145,3.379,5.623,5.77,5.985,6.645
79,other branch,branch,other,"[('other', 'JJ')]","[('branch', 'NN')]",5.222,5.235,5.186,5.205,4.021,4.277,3.445,3.835,5.362,5.455,5.329,5.543
80,different browser,browser,different,"[('different', 'JJ')]","[('browser', 'NN')]",5.526,5.633,5.633,5.949,4.27,4.117,4.076,3.614,5.554,5.664,5.884,6.324
81,good browser,browser,good,"[('good', 'JJ')]","[('browser', 'NN')]",6.2,6.475,6.539,7.308,4.256,4.107,4.117,3.678,5.835,6.025,5.966,6.45
82,great browser,browser,great,"[('great', 'JJ')]","[('browser', 'NN')]",6.368,7.28,6.408,7.488,4.406,4.06,4.43,4.016,5.984,6.604,5.962,6.686
83,main browser,browser,main,"[('main', 'JJ')]","[('browser', 'NN')]",5.664,5.748,5.46,5.688,4.294,4.204,4.144,3.714,5.682,5.766,6.17,6.748
84,mobile browser,browser,mobile,"[('mobile', 'JJ')]","[('browser', 'NN')]",5.88,6.014,6.14,6.712,4.196,4.074,3.984,3.474,5.692,5.8,5.852,6.282
85,other browser,browser,other,"[('other', 'JJ')]","[('browser', 'NN')]",5.417,5.504,5.473,5.71,4.291,4.146,4.031,3.544,5.549,5.67,5.696,6.047
86,new browser window,browser window,new,"[('new', 'JJ')]","[('browser', 'NN'), ('window', 'NN')]",5.877,5.887,6.934,7.166,4.359,4.467,3.911,4.23,5.44,5.479,5.593,5.697
87,private browsing,browsing,private,"[('private', 'JJ')]","[('browsing', 'NN')]",5.6,5.695,5.684,6.027,4.33,4.224,4.044,3.565,5.356,5.407,5.344,5.516
88,private browsing mode,browsing mode,private,"[('private', 'JJ')]","[('browsing', 'NN'), ('mode', 'NN')]",5.476,5.557,5.394,5.469,4.239,4.239,3.45,3.462,5.483,5.465,5.609,5.369
89,different bug,bug,different,"[('different', 'JJ')]","[('bug', 'NN')]",5.252,5.566,5.124,5.96,4.462,4.182,4.436,3.624,5.43,5.67,5.492,6.19
90,future bug,bug,future,"[('future', 'JJ')]","[('bug', 'NN')]",5.508,5.848,5.916,7.144,4.744,4.528,4.886,4.306,5.426,5.652,5.484,6.182
91,invalid bug,bug,invalid,"[('invalid', 'JJ')]","[('bug', 'NN')]",3.716,3.839,3.696,3.825,4.836,3.889,4.829,3.844,4.659,5.09,4.669,5.122
92,more bug,bug,more,"[('more', 'JJ')]","[('bug', 'NN')]",5.109,5.48,4.84,5.534,4.589,4.237,4.776,4.131,5.363,5.64,5.079,5.577
93,new bug,bug,new,"[('new', 'JJ')]","[('bug', 'NN')]",5.576,6.058,5.742,6.887,4.657,4.356,4.926,4.356,5.109,5.331,5.008,5.472
94,old bug,bug,old,"[('old', 'JJ')]","[('bug', 'NN')]",3.983,4.071,3.588,3.637,4.914,4.427,4.993,4.346,4.561,4.696,4.394,4.561
95,open bug,bug,open,"[('open', 'JJ')]","[('bug', 'NN')]",5.27,5.516,5.09,5.906,4.518,4.316,4.55,3.794,5.436,5.616,5.666,6.458
96,other bug,bug,other,"[('other', 'JJ')]","[('bug', 'NN')]",5.286,5.584,5.019,5.806,4.39,4.119,4.341,3.482,5.408,5.623,5.392,6.048
97,same bug,bug,same,"[('same', 'JJ')]","[('bug', 'NN')]",4.623,4.84,4.338,4.782,4.857,4.58,5.038,4.528,4.898,5.045,4.727,5.05
98,separate bug,bug,separate,"[('separate', 'JJ')]","[('bug', 'NN')]",4.306,4.603,4.09,4.433,4.696,4.106,4.681,3.901,4.531,4.664,4.43,4.605
99,similar bug,bug,similar,"[('similar', 'JJ')]","[('bug', 'NN')]",5.674,6.058,5.244,6.14,4.48,4.212,4.29,3.406,5.52,5.768,5.372,6.016
100,very annoying bug,bug,very annoying,"[('very', 'RB'), ('annoying', 'JJ')]","[('bug', 'NN')]",3.7,3.633,3.4,3.295,5.408,5.23,5.488,5.2,4.048,3.863,3.818,3.58
101,very old bug,bug,very old,"[('very', 'RB'), ('old', 'JJ')]","[('bug', 'NN')]",3.59,3.579,3.517,3.499,4.804,4.071,4.793,4.011,4.28,4.33,4.26,4.324
102,wrong bug,bug,wrong,"[('wrong', 'JJ')]","[('bug', 'NN')]",3.612,3.626,3.563,3.582,5.452,5.063,5.461,5.041,3.989,3.808,3.942,3.755
103,quite annoying bug,bug,quite annoying,"[('quite', 'RB'), ('annoying', 'JJ')]","[('bug', 'NN')]",4.49,4.66,3.26,3.16,4.96,4.77,5.07,4.58,4.7,4.8,4.45,4.64
104,unverified bug,bug,unverified,"[('unverified', 'JJ')]","[('bug', 'NN')]",4.83,5.3,4.86,5.57,4.79,4.37,4.91,4.33,5.05,5.37,5.08,5.58
105,separate bug report,bug report,separate,"[('separate', 'JJ')]","[('bug', 'NN'), ('report', 'NN')]",4.178,4.228,3.857,4.057,4.54,4.293,4.007,4.25,4.493,4.487,4.252,4.337
106,clean build,build,clean,"[('clean', 'JJ')]","[('build', 'NN')]",6.082,6.022,6.692,6.878,4.138,4.342,3.998,4.308,5.896,5.728,6.272,6.16
107,current build,build,current,"[('current', 'JJ')]","[('build', 'NN')]",5.567,5.455,5.973,5.796,4.145,4.258,3.659,3.797,5.635,5.504,6.14,5.961
108,debug build,build,debug,"[('debug', 'JJ')]","[('build', 'NN')]",5.421,5.251,5.468,5.036,4.365,4.553,4.174,4.57,5.461,5.27,5.667,5.253
109,first build,build,first,"[('first', 'JJ')]","[('build', 'NN')]",6.13,6.164,6.703,6.924,4.146,4.386,3.93,4.261,5.946,5.831,6.426,6.386
110,late build,build,late,"[('late', 'JJ')]","[('build', 'NN')]",5.378,5.18,5.205,4.642,4.248,4.417,4.159,4.549,5.479,5.272,5.496,4.995
111,late nightly build,build,late nightly,"[('late', 'JJ'), ('nightly', 'JJ')]","[('build', 'NN')]",5.44,5.304,5.265,4.731,4.309,4.454,3.651,3.785,5.535,5.384,5.676,5.265
112,local build,build,local,"[('local', 'JJ')]","[('build', 'NN')]",5.93,5.89,6.583,6.708,4.013,4.123,3.512,3.578,5.888,5.806,6.518,6.53
113,new build,build,new,"[('new', 'JJ')]","[('build', 'NN')]",6.173,6.174,6.781,7.006,4.297,4.518,4.084,4.438,5.621,5.418,5.875,5.562
114,nightly build,build,nightly,"[('nightly', 'JJ')]","[('build', 'NN')]",5.665,5.5,5.944,5.751,4.022,4.168,3.575,3.672,5.66,5.462,5.906,5.609
115,own build,build,own,"[('own', 'JJ')]","[('build', 'NN')]",5.507,5.364,5.693,5.376,4.396,4.566,4.006,4.316,5.441,5.26,5.83,5.497
116,recent build,build,recent,"[('recent', 'JJ')]","[('build', 'NN')]",5.476,5.273,5.749,5.46,4.171,4.361,3.63,3.757,5.331,5.061,5.414,4.873
117,same build,build,same,"[('same', 'JJ')]","[('build', 'NN')]",5.536,5.382,5.95,5.761,4.287,4.457,4.045,4.377,5.575,5.395,5.945,5.668
118,special build,build,special,"[('special', 'JJ')]","[('build', 'NN')]",6.097,6.068,6.538,6.643,3.843,3.963,3.513,3.582,5.955,5.842,6.338,6.262
119,successful build,build,successful,"[('successful', 'JJ')]","[('build', 'NN')]",6.293,6.392,6.735,6.995,4.073,4.323,4.075,4.492,6.193,6.225,6.677,6.818
120,universal build,build,universal,"[('universal', 'JJ')]","[('build', 'NN')]",5.637,5.512,6.427,6.48,4.287,4.438,3.775,3.972,5.507,5.322,6,5.75
121,close button,button,close,"[('close', 'JJ')]","[('button', 'NN')]",5.518,5.522,5.646,5.73,4.115,4.112,3.663,3.446,5.68,5.548,6.164,5.98
122,other button,button,other,"[('other', 'JJ')]","[('button', 'NN')]",5.509,5.519,5.756,5.894,3.928,3.852,3.665,3.432,5.911,5.774,6.333,6.22
123,new calendar,calendar,new,"[('new', 'JJ')]","[('calendar', 'NN')]",5.942,5.998,6.613,7.158,4.395,4.582,3.787,4.223,5.567,5.562,5.867,6
124,first call,call,first,"[('first', 'JJ')]","[('call', 'NN')]",5.925,5.882,6.19,6.193,4.173,4.367,3.883,4.185,5.655,5.663,5.993,6.185
125,good call,call,good,"[('good', 'JJ')]","[('call', 'NN')]",6.806,7.427,6.912,7.579,3.588,3.768,3.5,3.666,5.926,6.228,5.977,6.305
126,most recent call,call,most recent,"[('most', 'RB'), ('recent', 'JJ')]","[('call', 'NN')]",5.439,5.322,5.726,5.503,4.296,4.463,3.659,3.839,5.235,5.173,5.319,5.179
127,second call,call,second,"[('second', 'JJ')]","[('call', 'NN')]",6.007,5.991,6.177,6.179,4.257,4.421,3.68,3.871,5.729,5.754,5.854,5.974
128,good candidate,candidate,good,"[('good', 'JJ')]","[('candidate', 'NN')]",6.092,6.533,6.403,7.393,4.248,3.962,4.163,3.574,5.918,6.037,6.079,6.385
129,smart card,card,smart,"[('smart', 'JJ')]","[('card', 'NN')]",6.08,6.216,6.546,7.069,3.661,3.886,3.436,3.818,5.813,5.994,6.071,6.573
130,bad case,case,bad,"[('bad', 'JJ')]","[('case', 'NN')]",5.058,5.043,4.61,4.321,4.363,4.41,4.153,4.161,5.249,5.069,5.252,4.824
131,common case,case,common,"[('common', 'JJ')]","[('case', 'NN')]",5.705,5.79,6.065,6.51,3.969,3.93,3.242,2.795,5.776,5.733,6.195,6.241
132,exceptional case,case,exceptional,"[('exceptional', 'JJ')]","[('case', 'NN')]",5.74,5.868,6.206,6.722,4.486,4.562,4.464,4.624,5.734,5.662,6.126,6.136
133,first case,case,first,"[('first', 'JJ')]","[('case', 'NN')]",5.772,5.882,6.375,6.972,4.123,4.125,4.117,4.11,5.742,5.687,6.265,6.338
134,general case,case,general,"[('general', 'JJ')]","[('case', 'NN')]",5.36,5.382,5.644,5.876,4.226,4.248,3.956,3.858,5.586,5.498,5.804,5.652
135,good case,case,good,"[('good', 'JJ')]","[('case', 'NN')]",5.785,5.957,6.445,7.077,4.08,4.04,3.862,3.72,5.695,5.603,6.258,6.335
136,just special case,case,just special,"[('just', 'RB'), ('special', 'JJ')]","[('case', 'NN')]",5.689,5.809,6.197,6.707,4.271,4.309,3.88,3.749,5.73,5.649,6.036,6.004
137,low case,case,low,"[('low', 'JJ')]","[('case', 'NN')]",5.41,5.436,5.366,5.46,3.712,3.624,3.09,2.568,5.416,5.28,5.25,4.82
138,many case,case,many,"[('many', 'JJ')]","[('case', 'NN')]",5.224,5.226,5.197,5.208,4.627,4.707,4.358,4.467,5.372,5.248,5.542,5.257
139,more case,case,more,"[('more', 'JJ')]","[('case', 'NN')]",5.446,5.472,5.542,5.709,4.369,4.516,4.261,4.385,5.668,5.442,5.713,5.433
140,most case,case,most,"[('most', 'JJ')]","[('case', 'NN')]",5.475,5.514,5.42,5.542,4.345,4.377,4.163,4.176,5.573,5.484,5.708,5.508
141,normal case,case,normal,"[('normal', 'JJ')]","[('case', 'NN')]",5.503,5.576,5.923,6.294,3.975,3.95,3.586,3.31,5.673,5.561,5.902,5.8
142,only case,case,only,"[('only', 'JJ')]","[('case', 'NN')]",5.607,5.68,5.53,5.707,4.36,4.4,4.122,4.112,5.563,5.46,5.627,5.387
143,other case,case,other,"[('other', 'JJ')]","[('case', 'NN')]",5.442,5.489,5.436,5.561,4.184,4.183,3.733,3.531,5.679,5.594,6.109,6.109
144,particular case,case,particular,"[('particular', 'JJ')]","[('case', 'NN')]",5.545,5.612,5.513,5.681,4.288,4.304,3.841,3.691,5.921,5.901,6.789,7.131
145,special case,case,special,"[('special', 'JJ')]","[('case', 'NN')]",5.841,6.052,6.256,6.818,4.089,4.056,3.765,3.57,5.853,5.811,6.278,6.368
146,specific case,case,specific,"[('specific', 'JJ')]","[('case', 'NN')]",5.452,5.484,5.385,5.492,4.045,4.037,3.276,2.845,5.68,5.63,5.968,5.898
147,such case,case,such,"[('such', 'JJ')]","[('case', 'NN')]",5.245,5.245,5.455,5.592,4.473,4.545,4.315,4.403,5.392,5.244,5.675,5.461
148,2nd case,case,2nd,"[('2nd', 'JJ')]","[('case', 'NN')]",6.08,6.37,5.89,6.24,4.45,4.56,4.17,4.19,6.08,6.07,5.96,5.89
149,latter case,case,latter,"[('latter', 'JJ')]","[('case', 'NN')]",5.539,5.591,5.763,6.061,4.551,4.604,4.197,4.223,5.599,5.529,5.876,5.757
150,only special case,case,only special,"[('only', 'JJ'), ('special', 'JJ')]","[('case', 'NN')]",5.98,6.245,6.305,6.87,4.09,4.08,3.79,3.62,6.005,5.97,6.34,6.46
151,good catch,catch,good,"[('good', 'JJ')]","[('catch', 'NN')]",6.672,7.656,6.707,7.716,3.863,3.722,3.847,3.7,5.908,6.32,5.932,6.359
152,great catch,catch,great,"[('great', 'JJ')]","[('catch', 'NN')]",6.394,7.067,6.433,7.131,4.07,4.128,4.045,4.09,5.997,6.446,6.056,6.54
153,nice catch,catch,nice,"[('nice', 'JJ')]","[('catch', 'NN')]",6.215,6.722,6.298,6.848,3.81,3.634,3.762,3.57,5.942,6.339,6.018,6.456
154,new category,category,new,"[('new', 'JJ')]","[('category', 'NN')]",5.658,5.762,5.98,6.448,4.278,4.526,3.716,4.238,5.358,5.348,5.59,5.644
155,good chance,chance,good,"[('good', 'JJ')]","[('chance', 'NN')]",6.22,6.362,6.808,7.229,4.125,4.052,3.835,3.586,5.703,5.85,5.951,6.332
156,above change,change,above,"[('above', 'JJ')]","[('change', 'NN')]",5.64,5.748,5.77,6.114,4.378,4.44,4.128,4.174,5.614,5.578,5.738,5.702
157,actual change,change,actual,"[('actual', 'JJ')]","[('change', 'NN')]",5.734,5.846,5.73,6.05,4.094,4.092,3.59,3.36,5.69,5.668,5.746,5.712
158,additional change,change,additional,"[('additional', 'JJ')]","[('change', 'NN')]",5.74,5.893,5.824,6.187,4.02,4.003,3.737,3.577,5.586,5.55,5.734,5.699
159,big change,change,big,"[('big', 'JJ')]","[('change', 'NN')]",5.538,5.632,5.665,5.949,4.245,4.281,3.95,3.899,5.545,5.492,5.918,5.971
160,dynamic change,change,dynamic,"[('dynamic', 'JJ')]","[('change', 'NN')]",5.516,5.564,5.916,6.328,4.506,4.562,4.186,4.254,5.504,5.464,5.998,6.092
161,few change,change,few,"[('few', 'JJ')]","[('change', 'NN')]",5.609,5.711,5.65,5.93,4.178,4.204,4.093,4.115,5.593,5.547,5.747,5.714
